Age,Annual_Income,Spending_Score,Marital_Status,Profession,Segment
55,43852,35,Single,Teacher,0
62,43132,36,Single,Artist,0
48,29031,36,Married,Artist,0
29,120738,80,Single,Artist,1
19,73160,29,Married,Doctor,0
37,48011,37,Single,Doctor,0
22,80814,77,Married,Teacher,1
62,125558,90,Single,Artist,1
64,99065,92,Married,Business,1
31,85122,65,Married,Teacher,1
47,54518,11,Single,Business,0
26,59332,38,Married,Business,0
32,141476,90,Married,Engineer,1
29,54591,48,Married,Business,0
29,64096,30,Married,Engineer,0
31,130517,61,Married,Doctor,1
25,75715,21,Married,Lawyer,0
38,75267,13,Single,Lawyer,0
43,22261,60,Single,Doctor,0
57,147506,62,Single,Lawyer,1
40,70939,17,Single,Artist,0
29,146040,90,Single,Teacher,1
40,125002,91,Married,Teacher,1
45,42785,23,Married,Teacher,0
46,139399,92,Single,Artist,1
40,137091,63,Married,Teacher,1
44,70085,24,Single,Teacher,0
33,117430,73,Married,Teacher,1
42,112265,70,Married,Lawyer,1
49,98381,99,Married,Teacher,1
60,137043,82,Single,Doctor,1
41,36288,10,Married,Doctor,0
56,51705,23,Married,Business,0
33,112479,73,Married,Lawyer,1
24,91637,99,Married,Teacher,1
41,103321,73,Single,Engineer,1
41,137458,84,Single,Business,1
40,105351,94,Single,Business,1
21,34849,8,Married,Artist,0
44,86168,97,Married,Teacher,1
41,131745,82,Single,Business,1
40,43172,34,Married,Artist,0
50,145545,65,Single,Artist,1
51,29127,49,Married,Lawyer,0
61,49516,35,Single,Teacher,0
64,124811,83,Single,Engineer,1
21,33146,34,Single,Artist,0
47,78557,23,Single,Lawyer,0
19,148244,89,Married,Artist,1
56,141529,96,Married,Teacher,1
34,75726,41,Single,Business,0
26,135069,90,Married,Doctor,1
51,44306,44,Single,Lawyer,0
36,102116,94,Single,Engineer,1
33,143374,75,Married,Doctor,1
31,66733,27,Single,Business,0
56,44000,55,Single,Engineer,0
25,83596,72,Single,Artist,1
39,22454,58,Married,Teacher,0
27,50502,39,Single,Business,0
21,95034,99,Married,Artist,1
50,132329,67,Married,Lawyer,1
36,133413,77,Single,Lawyer,1
18,69146,7,Married,Business,0
52,84432,73,Married,Engineer,1
48,110105,74,Married,Doctor,1
59,68438,55,Married,Lawyer,0
45,20587,54,Married,Engineer,0
31,31439,60,Married,Engineer,0
28,30449,18,Married,Artist,0
54,33749,30,Married,Business,0
52,97640,74,Married,Lawyer,1
36,105934,70,Married,Doctor,1
56,127605,98,Married,Teacher,1
30,89337,78,Married,Doctor,1
19,118756,67,Married,Business,1
51,106734,66,Single,Engineer,1
60,20193,14,Single,Doctor,0
47,74245,34,Married,Teacher,0
44,137545,92,Single,Engineer,1
43,101545,68,Single,Doctor,1
20,141886,67,Single,Lawyer,1
27,71631,59,Married,Business,0
59,37087,17,Married,Doctor,0
29,107306,78,Married,Lawyer,1
37,42852,44,Single,Engineer,0
39,141642,83,Single,Artist,1
24,147067,74,Single,Teacher,1
60,28787,54,Single,Business,0
19,26701,8,Married,Lawyer,0
44,66558,7,Single,Engineer,0
57,139383,85,Married,Lawyer,1
42,32605,41,Single,Business,0
41,118513,66,Married,Doctor,1
38,98888,77,Married,Business,1
35,90954,85,Single,Lawyer,1
27,54610,9,Single,Teacher,0
41,90916,62,Married,Business,1
43,127362,75,Single,Teacher,1
54,46512,32,Married,Doctor,0
22,134553,67,Married,Doctor,1
23,103793,77,Single,Artist,1
